X,Y,OBJECTID,ACCIDENT_DATE,ACCIDENT_TIME,ALCOHOLTIME,ACCIDENT_TYPE,DAY_OF_WEEK,DCA_CODE,LIGHT_CONDITION,LONGITUDE,LATITUDE,LGA_NAME,REGION_NAME,TOTAL_PERSONS,INJ_OR_FATAL,FATALITY,SERIOUSINJURY,OTHERINJURY,NONINJURED,MALES,FEMALES,BICYCLIST,PASSENGER,DRIVER,PEDESTRIAN,PILLION,MOTORIST,UNKNOWN,PED_CYCLIST_5_12,PED_CYCLIST_13_18,OLD_PEDESTRIAN,OLD_DRIVER,YOUNG_DRIVER,ALCOHOL_RELATED,UNLICENCSED,NO_OF_VEHICLES,HEAVYVEHICLE,PASSENGERVEHICLE,MOTORCYCLE,PUBLICVEHICLE,DEG_URBAN_NAME,DEG_URBAN_ALL,LGA_NAME_ALL,REGION_NAME_ALL,Suburb,Year,Month,Month_name
145.0165606709457,-37.868524711076326,3465892,4/4/2018,07.10.00,No,Collision with vehicle,Wednesday,LEFT NEAR (INTERSECTIONS ONLY),Day,145.01656,-37.868520000000004,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,GLEN EIRA,METROPOLITAN SOUTH EAST REGION,CAULFIELD NORTH,2018,4,April
144.99309711632299,-37.79774366278088,3465907,10/4/2018,07.55.00,No,Collision with vehicle,Tuesday,OTHER ADJACENT (INTERSECTIONS ONLY),Day,144.9931,-37.79774000000001,YARRA,METROPOLITAN NORTH WEST REGION,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA,METROPOLITAN NORTH WEST REGION,COLLINGWOOD,2018,4,April
144.97821805686792,-37.84409132205149,3465912,22/3/2018,17.50.00,No,Collision with vehicle,Thursday,LANE CHANGE LEFT (NOT OVERTAKING),Dusk/Dawn,144.97822,-37.84409,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,No,0,2,0,0,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,MELBOURNE,2018,3,March
144.99350619809687,-37.80512445425841,3465915,21/3/2018,08.15.00,No,Collision with vehicle,Wednesday,LEFT TURN SIDESWIPE,Day,144.99351000000001,-37.80512,YARRA,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,YARRA,METROPOLITAN NORTH WEST REGION,ABBOTSFORD,2018,3,March
144.99026769554078,-37.87716863001039,3465923,20/3/2018,15.35.00,No,Collision with vehicle,Tuesday,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,Day,144.99027,-37.87717,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,PORT PHILLIP,METROPOLITAN NORTH WEST REGION,ELWOOD,2018,3,March
145.14616519066968,-37.98243941508175,3465934,28/3/2018,19.30.00,Yes,Collision with vehicle,Wednesday,LEFT NEAR (INTERSECTIONS ONLY),Dark Street lights on,145.14616999999996,-37.982440000000004,DANDENONG,METROPOLITAN SOUTH EAST REGION,2,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,DANDENONG,METROPOLITAN SOUTH EAST REGION,KEYSBOROUGH,2018,3,March
145.04191556261156,-37.80418628818428,3465940,23/3/2018,12.00.00,No,Collision with vehicle,Thursday,LEFT NEAR (INTERSECTIONS ONLY),Unk.,145.04192,-37.80419000000001,BOROONDARA,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,BOROONDARA,METROPOLITAN SOUTH EAST REGION,KEW,2018,3,March
144.99303249453808,-37.85365030416634,3465944,4/4/2018,11.30.00,No,Collision with vehicle,Tuesday,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE,Day,144.99303,-37.85365,STONNINGTON,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,STONNINGTON,METROPOLITAN SOUTH EAST REGION,WINDSOR,2018,4,April
145.11085285037157,-37.94026416440336,3465965,23/3/2018,18.10.00,Yes,Collision with vehicle,Friday,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,Day,145.11085,-37.940259999999995,KINGSTON,METROPOLITAN SOUTH EAST REGION,2,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,No,0,2,0,1,0,0,MELB_URBAN,MELB_URBAN,KINGSTON,METROPOLITAN SOUTH EAST REGION,CLAYTON SOUTH,2018,3,March
144.97542945992717,-37.76485285556747,3465974,23/3/2018,23.50.00,Yes,Collision with vehicle,Thursday,REAR END(VEHICLES IN SAME LANE),Dark Street lights on,144.97543000000005,-37.76485,MORELAND,METROPOLITAN NORTH WEST REGION,2,1,0,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,No,0,2,0,0,1,0,MELB_URBAN,MELB_URBAN,MORELAND,METROPOLITAN NORTH WEST REGION,BRUNSWICK EAST,2018,3,March
